Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Region,image_url
Lesotho ,2022331,30355,66.6,0,-0.74,84.23,3000,84.8,23.7,10.87,0.13,89,3,24.75,28.71,163,443,394,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg
Liberia ,3042004,111370,27.3,0.52,0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,769,54,177,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg
Libya ,5900754,1759540,3.4,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,76,499,425,NORTHERN AFRICA                    ,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg
Liechtenstein ,33987,160,212.4,0,4.85,4.7,25000,100,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg
Lithuania ,3585906,65200,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,55,325,0.62,BALTICS                            ,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg
Luxembourg ,474413,2586,183.5,0,8.97,4.81,0,100,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg
Macedonia ,2050554,25333,80.9,0,-1.45,10.09,6700,,260,22.26,1.81,75.93,3,12.02,8.77,118,319,563,EASTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg
Madagascar ,18595469,587040,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,276,165,559,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg
Malawi ,13013926,118480,109.8,0,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,342,158,499,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg
Malaysia ,24385858,329750,74,1.42,0,17.7,9000,88.7,179,5.48,17.61,76.91,2,22.86,5.05,84,0.48,436,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg
Maldives ,359008,300,1196.7,214.67,0,56.52,3900,97.2,90,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg
